draw,datetime,bets,ticketCount,price,jackpot_kop,superPrizeWon,s1_part,s2_part,w4of5,a4of5,w3of5,a3of5,w2of5,a2of5,summPayed
139205,2025-06-17T06:30:30+0300,1841,1500,70,1509126150,False,0,0,0,0,15,700,256,140,46340
139206,2025-06-17T07:00:30+0300,1628,1424,70,1510008150,False,0,0,0,0,25,700,192,140,44380
139207,2025-06-17T07:30:30+0300,2706,2117,70,1511012650,False,0,0,1,7000,42,700,314,140,80360
139208,2025-06-17T07:45:30+0300,1023,894,70,1511245400,False,0,0,1,7000,13,700,117,140,32480
139209,2025-06-17T08:00:30+0300,966,891,70,1512014700,False,0,0,0,0,9,700,118,140,22820
139210,2025-06-17T08:30:30+0300,2890,2378,70,1514322600,False,0,0,0,0,28,700,347,140,68180
139211,2025-06-17T09:00:30+0300,2325,1996,70,1516588850,False,0,0,0,0,19,700,255,140,49000
139212,2025-06-17T09:30:30+0300,2003,1703,70,1518820800,False,0,0,0,0,12,700,213,140,38220
139213,2025-06-17T09:45:30+0300,1192,998,70,1518928600,False,0,0,0,0,23,700,172,140,40180
139214,2025-06-17T10:00:30+0300,1297,1016,70,1519479850,False,0,0,0,0,17,700,183,140,37520
139215,2025-06-17T10:30:30+0300,2108,1818,70,1520067850,False,0,0,2,7000,22,700,257,140,65380
139216,2025-06-17T11:00:30+0300,2323,1904,70,1521515800,False,0,0,1,7000,26,700,253,140,60620
139217,2025-06-17T11:30:30+0300,2307,1955,70,1522267950,False,0,0,2,7000,23,700,285,140,70000
139218,2025-06-17T11:45:30+0300,1326,1120,70,1522218950,False,0,0,1,7000,24,700,165,140,46900
139219,2025-06-17T12:00:30+0300,1342,1081,70,1521931950,False,0,0,1,7000,29,700,161,140,49840
139220,2025-06-17T12:30:30+0300,2093,1734,70,1522316600,False,0,0,1,7000,35,700,259,140,67760
139221,2025-06-17T13:00:30+0300,2240,1802,70,1523923800,False,0,0,1,7000,17,700,261,140,55440
139222,2025-06-17T13:30:30+0300,2074,1777,70,1524389300,False,0,0,1,7000,30,700,271,140,65940
139223,2025-06-17T13:45:30+0300,1241,1024,70,1524266800,False,0,0,1,7000,23,700,154,140,44660
139224,2025-06-17T14:00:30+0300,1114,984,70,1524869500,False,0,0,0,0,15,700,142,140,30380
